DATE,STATION,TMAX,TMIN,TMAX_F,TMIN_F
2010-01-01,USR0000CBAR,128.0,100.0,55.0,50.0
2010-01-02,USR0000CBAR,128.0,83.0,55.0,47.0
2010-01-03,USR0000CBAR,133.0,61.0,56.0,43.0
2010-01-04,USR0000CBAR,133.0,56.0,56.0,42.0
2010-01-05,USR0000CBAR,161.0,44.0,61.0,40.0
2010-01-06,USR0000CBAR,133.0,44.0,56.0,40.0
2010-01-07,USR0000CBAR,106.0,39.0,51.0,39.0
2010-01-08,USR0000CBAR,100.0,44.0,50.0,40.0
2010-01-09,USR0000CBAR,128.0,56.0,55.0,42.0
2010-01-10,USR0000CBAR,106.0,61.0,51.0,43.0
2010-01-11,USR0000CBAR,117.0,50.0,53.0,41.0
2010-01-12,USR0000CBAR,128.0,100.0,55.0,50.0
2010-01-13,USR0000CBAR,156.0,83.0,60.0,47.0
2010-01-14,USR0000CBAR,183.0,50.0,65.0,41.0
2010-01-15,USR0000CBAR,128.0,72.0,55.0,45.0
2010-01-16,USR0000CBAR,122.0,67.0,54.0,44.0
2010-01-17,USR0000CBAR,111.0,78.0,52.0,46.0
2010-01-18,USR0000CBAR,111.0,89.0,52.0,48.0
2010-01-19,USR0000CBAR,122.0,72.0,54.0,45.0
2010-01-20,USR0000CBAR,106.0,61.0,51.0,43.0
2010-01-21,USR0000CBAR,83.0,28.0,47.0,37.0
2010-01-22,USR0000CBAR,106.0,33.0,51.0,38.0
2010-01-23,USR0000CBAR,139.0,50.0,57.0,41.0
2010-01-24,USR0000CBAR,94.0,56.0,49.0,42.0
2010-01-25,USR0000CBAR,106.0,72.0,51.0,45.0
2010-01-26,USR0000CBAR,100.0,61.0,50.0,43.0
2010-01-27,USR0000CBAR,150.0,61.0,59.0,43.0
2010-01-28,USR0000CBAR,156.0,39.0,60.0,39.0
2010-01-29,USR0000CBAR,122.0,72.0,54.0,45.0
2010-01-30,USR0000CBAR,144.0,61.0,58.0,43.0
2010-01-31,USR0000CBAR,144.0,39.0,58.0,39.0
2010-02-01,USR0000CBAR,133.0,67.0,56.0,44.0
2010-02-02,USR0000CBAR,144.0,56.0,58.0,42.0
2010-02-03,USR0000CBAR,167.0,72.0,62.0,45.0
2010-02-04,USR0000CBAR,122.0,78.0,54.0,46.0
2010-02-05,USR0000CBAR,156.0,89.0,60.0,48.0
2010-02-06,USR0000CBAR,111.0,78.0,52.0,46.0
2010-02-07,USR0000CBAR,150.0,61.0,59.0,43.0
2010-02-08,USR0000CBAR,117.0,50.0,53.0,41.0
2010-02-09,USR0000CBAR,111.0,56.0,52.0,42.0
2010-02-10,USR0000CBAR,133.0,56.0,56.0,42.0
2010-02-11,USR0000CBAR,150.0,56.0,59.0,42.0
2010-02-12,USR0000CBAR,133.0,94.0,56.0,49.0
2010-02-13,USR0000CBAR,172.0,72.0,63.0,45.0
2010-02-14,USR0000CBAR,189.0,67.0,66.0,44.0
2010-02-15,USR0000CBAR,189.0,83.0,66.0,47.0
2010-02-16,USR0000CBAR,194.0,83.0,67.0,47.0
2010-02-17,USR0000CBAR,222.0,89.0,72.0,48.0
2010-02-18,USR0000CBAR,161.0,72.0,61.0,45.0
2010-02-19,USR0000CBAR,128.0,72.0,55.0,45.0
2010-02-20,USR0000CBAR,106.0,72.0,51.0,45.0
2010-02-21,USR0000CBAR,106.0,72.0,51.0,45.0
2010-02-22,USR0000CBAR,161.0,39.0,61.0,39.0
2010-02-23,USR0000CBAR,106.0,56.0,51.0,42.0
2010-02-24,USR0000CBAR,161.0,89.0,61.0,48.0
2010-02-25,USR0000CBAR,183.0,78.0,65.0,46.0
2010-02-26,USR0000CBAR,139.0,89.0,57.0,48.0
2010-02-27,USR0000CBAR,150.0,72.0,59.0,45.0
2010-02-28,USR0000CBAR,200.0,61.0,68.0,43.0
2010-03-01,USR0000CBAR,122.0,67.0,54.0,44.0
2010-03-02,USR0000CBAR,133.0,83.0,56.0,47.0
2010-03-03,USR0000CBAR,128.0,39.0,55.0,39.0
2010-03-04,USR0000CBAR,128.0,22.0,55.0,36.0
2010-03-05,USR0000CBAR,117.0,33.0,53.0,38.0
2010-03-06,USR0000CBAR,189.0,67.0,66.0,44.0
