DATE,STATION,TMAX,TMIN,TMAX_F,TMIN_F
2023-01-01,USR0000CBAR,150.0,61.0,59.0,43.0
2023-01-02,USR0000CBAR,78.0,50.0,46.0,41.0
2023-01-03,USR0000CBAR,94.0,50.0,49.0,41.0
2023-01-04,USR0000CBAR,128.0,61.0,55.0,43.0
2023-01-05,USR0000CBAR,117.0,83.0,53.0,47.0
2023-01-06,USR0000CBAR,117.0,89.0,53.0,48.0
2023-01-07,USR0000CBAR,111.0,83.0,52.0,47.0
2023-01-08,USR0000CBAR,150.0,89.0,59.0,48.0
2023-01-09,USR0000CBAR,150.0,72.0,59.0,45.0
2023-01-10,USR0000CBAR,111.0,78.0,52.0,46.0
2023-01-11,USR0000CBAR,122.0,83.0,54.0,47.0
2023-01-12,USR0000CBAR,167.0,117.0,62.0,53.0
2023-01-13,USR0000CBAR,122.0,94.0,54.0,49.0
2023-01-14,USR0000CBAR,117.0,78.0,53.0,46.0
2023-01-15,USR0000CBAR,100.0,67.0,50.0,44.0
2023-01-16,USR0000CBAR,106.0,56.0,51.0,42.0
2023-01-17,USR0000CBAR,139.0,39.0,57.0,39.0
2023-01-18,USR0000CBAR,122.0,33.0,54.0,38.0
2023-01-19,USR0000CBAR,117.0,50.0,53.0,41.0
2023-01-20,USR0000CBAR,133.0,28.0,56.0,37.0
2023-01-21,USR0000CBAR,144.0,33.0,58.0,38.0
2023-01-22,USR0000CBAR,156.0,56.0,60.0,42.0
2023-01-23,USR0000CBAR,194.0,78.0,67.0,46.0
2023-01-24,USR0000CBAR,178.0,67.0,64.0,44.0
2023-01-25,USR0000CBAR,222.0,78.0,72.0,46.0
2023-01-26,USR0000CBAR,194.0,106.0,67.0,51.0
2023-01-27,USR0000CBAR,178.0,44.0,64.0,40.0
2023-01-28,USR0000CBAR,161.0,56.0,61.0,42.0
2023-01-29,USR0000CBAR,100.0,50.0,50.0,41.0
2023-01-30,USR0000CBAR,128.0,28.0,55.0,37.0
2023-01-31,USR0000CBAR,161.0,33.0,61.0,38.0
2023-02-01,USR0000CBAR,133.0,39.0,56.0,39.0
2023-02-02,USR0000CBAR,128.0,44.0,55.0,40.0
2023-02-03,USR0000CBAR,117.0,83.0,53.0,47.0
